,Altitude,Geology,Historic,Landcover,Landform,Soilscape,Vegetation
 LCT1 ,0.261837163,0.194757399,0.189026086,0.201776279,0.13148623,0.231764043,0.168135362
 LCT2 ,0.198453269,0.159126086,0.10878968,0.180523709,0.160594044,0.292498596,0.154610353
 LCT3 ,0.408393438,0.172695268,0.151114195,0.181579839,0.213329167,0.294648944,0.188362018
 LCT4 ,0.26799347,0.187344009,0.115606853,0.197620367,0.159877984,0.217206288,0.163576774
 LCT5 ,0.41342714,0.279682538,0.175663346,0.276107122,0.158273258,0.240176126,0.237507368
 LCT6 ,0.206723729,0.267474194,0.172904196,0.258586174,0.241671954,0.230078519,0.222890107
 LCT7 ,0.343190472,0.202513895,0.099451552,0.23567522,0.142849253,0.312623461,0.190822853
 LCT8 ,0.242630377,0.118682068,0.105328586,0.14219353,0.140539302,0.160924117,0.114227235
 LCT9 ,0.206518764,0.197964643,0.157756493,0.21584408,0.169685717,0.170801472,0.16832764
 LCT10 ,0.192853571,0.242786349,0.244280974,0.229513772,0.19158114,0.144988115,0.134492978
 LCT11 ,0.343102754,0.215364807,0.071243323,0.2044011,0.172827204,0.227268524,0.169991503
 LCT12 ,0.253006324,0.300944439,0.297693961,0.258501727,0.280236372,0.20006316,0.196860215
 LCT13 ,0.28907525,0.097549361,0.146814036,0.18806863,0.169606675,0.249746729,0.142954927
 LCT14 ,0.15586693,0.258056174,0.165110148,0.167066283,0.181576597,0.207418831,0.10863522
 LCT15 ,0.208507794,0.181287372,0.158524008,0.21013805,0.147830446,0.204055315,0.222459797
 LCT16 ,0.24352967,0.154390162,0.128815221,0.255948563,0.171911248,0.265269371,0.163805864
 LCT17 ,0.219216103,0.230748059,0.19776122,0.148958607,0.278749589,0.223016976,0.171963659
 LCT18 ,0.223778238,0.15513897,0.089251673,0.132670555,0.13200835,0.202431646,0.150436402
 LCT19 ,0.263729976,0.177304509,0.156588633,0.191762378,0.222123277,0.183820905,0.188113958
 LCT20 ,0.344685364,0.213608676,0.157069606,0.255948563,0.203449495,0.333665358,0.174356993
 LCT21,0.447213595,0.316227766,0.186780248,0.136413587,0.288675135,0.135303891,0.14239421
