,Altitude,Geology,Historic,Landcover,Landform,Soilscape,Vegetation
 LCT1 ,0.284533302,0.263676148,0.135928699,0.209396525,0.221226266,0.350727815,0.294496793
 LCT2 ,0.241582284,0.189372913,0.202260215,0.189166971,0.134290278,0.206985464,0.163179945
 LCT3 ,0.07529409,0.192431489,0.135739129,0.204013071,0.229557413,0.302231906,0.26126349
 LCT4 ,0.160728031,0.149483555,0.154224674,0.15857175,0.152555281,0.23732644,0.129734772
 LCT5 ,0.200618294,0.286248532,0.234442661,0.207976304,0.232936378,0.211951477,0.133641727
 LCT6 ,0.150828379,0.166783293,0.133600877,0.169543505,0.173222991,0.263795612,0.085463442
 LCT7 ,0.291342582,0.200265379,0.174283135,0.199396112,0.179588482,0.299136854,0.170849674
 LCT8 ,0.175922426,0.220086852,0.221710835,0.22488145,0.194788988,0.325910592,0.175409838
 LCT9 ,0.224221988,0.159356658,0.189983844,0.236740364,0.16070194,0.253490173,0.264373526
 LCT10 ,0.197915386,0.236889097,0.232731068,0.276646844,0.244328067,0.326044695,0.210458296
 LCT11 ,0.171479445,0.217044286,0.258307203,0.225735412,0.260471542,0.27188571,0.17714644
 LCT12 ,0.197366917,0.290197423,0.209277195,0.199859713,0.216690535,0.221049728,0.267986214
 LCT13 ,0.25292489,0.166638298,0.142424346,0.200558743,0.152500447,0.313390674,0.274455825
 LCT14 ,0.177366006,0.20179277,0.161742422,0.191363031,0.176104996,0.191086368,0.147330788
 LCT15 ,0.164050907,0.206346769,0.108243296,0.204175112,0.208991572,0.341137776,0.163095064
 LCT16 ,0.149971664,0.199772092,0.143471639,0.187123336,0.193490819,0.329784101,0.151249793
 LCT17 ,0.194230533,0.182119009,0.186050695,0.213560296,0.142194782,0.269365624,0.274173961
 LCT18 ,0.244670595,0.276504551,0.277357521,0.246302659,0.194449027,0.35279595,0.310320578
 LCT19 ,0.230099326,0.170153525,0.155217142,0.211792126,0.184936414,0.289545672,0.167268082
 LCT20 ,0.243040532,0.214264634,0.12881576,0.188649966,0.103978254,0.232524922,0.159187346
