, NP , PD , TE , ED , LSI , SHAPE_MN , FRAC_SD , CONTIG_MN , NDCA , DCAD , CORE_MN , ENN_AM , TECI , CLUMPY , PLADJ , IJI , COHESION , AI , NLSI
 LCT1 ,208,0.1544,238140,1.768,17.1078,1.3363,0.0479,0.4466,208,0.1544,5.7816,131.576,76.6534,0.8577,85.1482,67.1232,94.1164,85.8939,0.1411
 LCT2 ,120,0.0891,333120,2.4731,9.3942,1.3709,0.0485,0.4698,120,0.0891,61.6568,169.2179,66.7723,0.9697,96.8147,75.2995,99.3094,97.1441,0.0286
 LCT3 ,2073,1.539,1457760,10.8227,50.6167,1.2345,0.0424,0.405,1810,1.3438,1.9079,137.5059,70.3578,0.7835,78.8458,63.3007,90.2611,79.1767,0.2082
 LCT4 ,210,0.1559,513480,3.8122,16.301,1.4527,0.0522,0.4691,205,0.1522,28.1696,423.5717,71.8646,0.9386,93.7824,78.0129,98.2639,94.1415,0.0586
 LCT5 ,1113,0.8263,1408860,10.4597,36.8041,1.3259,0.0498,0.3992,666,0.4945,4.3877,91.1955,54.2646,0.8791,88.4491,46.011,96.4758,88.7275,0.1127
 LCT6 ,738,0.5479,822300,6.1049,31.0771,1.3232,0.0512,0.3786,545,0.4046,4.4646,84.4175,71.3128,0.8583,85.9019,65.1555,95.5607,86.2934,0.1371
 LCT7 ,133,0.0987,287940,2.1377,13.7902,1.4312,0.0568,0.3668,104,0.0772,16.9038,77.2131,78.9373,0.9243,92.0475,59.6863,98.2536,92.5814,0.0742
 LCT8 ,336,0.2495,278880,2.0705,18.2275,1.294,0.0508,0.3422,277,0.2057,3.3337,111.2876,82.8656,0.862,85.6711,66.8597,94.5663,86.3499,0.1365
 LCT9 ,882,0.6548,748560,5.5575,28.1625,1.2907,0.0526,0.2918,706,0.5241,4.3855,93.7651,77.0812,0.8725,87.267,69.6447,96.92,87.6634,0.1234
 LCT10 ,684,0.5078,1649220,12.2441,31.7769,1.3628,0.0501,0.4218,579,0.4299,19.2299,72.4667,78.179,0.9183,92.6371,64.8042,99.4826,92.8523,0.0715
 LCT11 ,2467,1.8315,1648020,12.2352,41.0568,1.2003,0.0494,0.2025,973,0.7224,3.6548,76.1176,72.4586,0.8699,87.6919,62.8455,97.814,87.9556,0.1204
 LCT12 ,936,0.6949,1498020,11.1216,28.5337,1.2927,0.0522,0.2986,682,0.5063,13.4746,69.3778,58.0608,0.9277,93.4777,53.1552,99.239,93.6918,0.0631
 LCT13 ,520,0.3861,389520,2.8919,24.7786,1.2952,0.0531,0.3047,396,0.294,2.3267,110.2384,76.3863,0.8146,81.0497,65.4581,93.3501,81.6743,0.1833
 LCT14 ,460,0.3415,669300,4.969,28.0276,1.4243,0.0514,0.4806,437,0.3244,6.4573,125.3347,79.1372,0.8593,85.8629,70.1921,95.065,86.2982,0.137
 LCT15 ,1300,0.9651,1537740,11.4165,39.5509,1.3286,0.0561,0.3051,930,0.6905,5.489,78.2561,74.9936,0.8716,87.7868,58.6449,97.9045,88.0587,0.1194
 LCT16 ,467,0.3467,1287480,9.5585,26.7223,1.4465,0.0514,0.5042,375,0.2784,23.92,132.7229,82.2631,0.9279,93.3297,71.8383,98.8672,93.5633,0.0644
 LCT17 ,220,0.1633,533940,3.9641,18.7743,1.4062,0.0544,0.3993,181,0.1344,18.4435,84.6356,80.254,0.9215,92.0556,60.704,98.3547,92.4468,0.0755
 LCT18 ,169,0.1255,240240,1.7836,12.2822,1.3206,0.0511,0.3612,125,0.0928,10.9214,151.3561,85.1455,0.9291,92.4618,57.8882,97.602,93.0328,0.0697
 LCT19 ,307,0.2279,461580,3.4269,20.6247,1.3587,0.0495,0.432,279,0.2071,7.7743,79.6713,75.271,0.8913,88.9051,67.0351,97.8572,89.3859,0.1061
 LCT20 ,102,0.0757,452640,3.3605,12.2269,1.5784,0.055,0.586,110,0.0817,78.3035,124.9116,69.4628,0.9609,96.0292,75.9629,98.9329,96.3421,0.0366
