, NP , PD , TE , ED , LSI , SHAPE_MN , FRAC_SD , CONTIG_MN , NDCA , DCAD , CORE_MN , ENN_AM , TECI , CLUMPY , PLADJ , IJI , COHESION , AI , NLSI
 LCT1 ,154,0.0513,311100,1.037,15.0727,1.3983,0.0431,0.6662,154,0.0513,17.2479,548.7973,89.1041,0.9168,91.2157,69.7863,95.5151,91.7505,0.0825
 LCT2 ,78,0.026,539160,1.7972,11.7927,1.5471,0.0388,0.7866,80,0.0267,163.2485,344.1348,95.7456,0.9702,96.8982,73.5552,99.0064,97.1537,0.0285
 LCT3 ,57,0.019,316320,1.0544,10.119,1.581,0.0407,0.7973,57,0.019,107.0511,460.901,95.9105,0.9641,96.112,73.0184,98.4285,96.4827,0.0352
 LCT4 ,77,0.0257,536880,1.7896,11.836,1.4946,0.0445,0.7613,86,0.0287,156.7274,240.8739,99.3216,0.9699,96.8664,54.1566,99.3166,97.1236,0.0288
 LCT5 ,95,0.0317,540480,1.8016,14.2306,1.6321,0.0433,0.7727,100,0.0333,91.2685,414.154,98.6007,0.9567,95.4965,64.3395,98.5259,95.7996,0.042
 LCT6 ,128,0.0427,483240,1.6108,14.3565,1.4254,0.039,0.7762,139,0.0463,50.1398,274.0679,99.6958,0.951,94.8759,46.8569,97.7795,95.2157,0.0478
 LCT7 ,45,0.015,347580,1.1586,10.4567,1.7035,0.0487,0.8096,59,0.0197,143.972,278.92,88.1642,0.9649,96.2184,65.6,99.0176,96.5676,0.0343
 LCT8 ,87,0.029,536220,1.7874,14.8702,1.6243,0.049,0.7685,87,0.029,93.2483,645.7392,96.844,0.9524,95.0474,79.8517,98.6946,95.365,0.0463
 LCT9 ,22,0.0073,146820,0.4894,6.2744,1.5902,0.0359,0.803,22,0.0073,155.295,1180.3481,85.6089,0.9725,96.777,71.1548,98.7287,97.2767,0.0272
 LCT10 ,22,0.0073,271200,0.904,7.5712,1.7987,0.0425,0.7908,22,0.0073,363.5182,270.4694,77.3551,0.9772,97.4567,66.2069,99.3329,97.7852,0.0221
 LCT11 ,47,0.0157,156420,0.5214,8.9588,1.4165,0.0343,0.7837,47,0.0157,37.0647,438.4468,87.5048,0.9445,93.8395,66.2159,96.8111,94.4893,0.0551
 LCT12 ,8,0.0027,167040,0.5568,4.9714,1.9908,0.0299,0.8932,10,0.0033,863.5612,917.3082,70.4023,0.9854,98.2209,52.8107,99.5745,98.5737,0.0143
 LCT13 ,26,0.0087,61080,0.2036,5.6243,1.2429,0.0222,0.8168,26,0.0087,28.0488,2740.9562,94.2633,0.9476,93.7184,75.8083,95.9517,94.7769,0.0522
 LCT14 ,52,0.0173,268200,0.894,9.8894,1.5296,0.0415,0.7695,52,0.0173,88.3904,473.3737,97.2919,0.9599,95.6237,79.4386,98.214,96.0487,0.0395
 LCT15 ,79,0.0263,271620,0.9054,10.2653,1.4228,0.035,0.7822,79,0.0263,55.3363,451.4114,96.6137,0.9571,95.34,59.2773,97.9557,95.7748,0.0423
 LCT16 ,69,0.023,378300,1.261,11.8071,1.585,0.0384,0.8011,80,0.0267,88.5717,306.3643,87.6098,0.9585,95.5746,68.8354,98.469,95.9342,0.0407
 LCT17,99,0.033,534480,1.7816,14.7728,1.6092,0.048,0.7588,108,0.036,79.0382,371.3967,98.2527,0.9527,95.0843,74.7137,98.3348,95.4017,0.046
 LCT18,188,0.0627,592920,1.9764,15.9645,1.4522,0.0377,0.76,210,0.07,42.6169,445.7056,98.6663,0.95,94.8339,71.4413,97.9078,95.1417,0.0486
 LCT19,31,0.0103,143880,0.4796,7.1157,1.5183,0.0339,0.8202,31,0.0103,82.1061,1790.6088,87.0371,0.963,95.7604,71.9028,97.8156,96.3344,0.0367
 LCT20,36,0.012,410400,1.368,8.8716,1.6284,0.0507,0.6959,41,0.0137,360.365,212.436,93.0117,0.9786,97.6973,64.7226,99.6115,97.9515,0.0205
